readsN	context	count	sample
95	CHH	9	wt
96	CHH	6	wt
97	CG	1	wt
97	CHG	1	wt
97	CHH	6	wt
98	CG	1	wt
98	CHG	1	wt
98	CHH	3	wt
99	CHH	2	wt
100	CG	1	wt
100	CHH	1	wt
101	CG	1	wt
101	CHH	2	wt
103	CHH	1	wt
104	CHG	1	wt
104	CHH	2	wt
105	CG	1	wt
105	CHH	4	wt
106	CG	1	wt
107	CHG	1	wt
0	CG	133466	a4
0	CHG	130379	a4
0	CHH	856517	a4
1	CG	224413	a4
1	CHG	224547	a4
1	CHH	1539783	a4
2	CG	288942	a4
2	CHG	304738	a4
2	CHH	2166001	a4
3	CG	286767	a4
3	CHG	317774	a4
3	CHH	2308464	a4
4	CG	240644	a4
4	CHG	278549	a4
4	CHH	2033837	a4
5	CG	173546	a4
5	CHG	209352	a4
5	CHH	1533255	a4
6	CG	113709	a4
6	CHG	139148	a4
6	CHH	1023318	a4
7	CG	67156	a4
7	CHG	84495	a4
7	CHH	613894	a4
8	CG	37141	a4
8	CHG	47164	a4
8	CHH	339369	a4
9	CG	19051	a4
9	CHG	24385	a4
9	CHH	175226	a4
10	CG	9062	a4
10	CHG	11683	a4
10	CHH	83725	a4
11	CG	4120	a4
11	CHG	5495	a4
11	CHH	38031	a4
12	CG	1788	a4
12	CHG	2362	a4
12	CHH	16580	a4
13	CG	828	a4
13	CHG	1043	a4
13	CHH	7116	a4
14	CG	379	a4
14	CHG	442	a4
14	CHH	2906	a4
15	CG	144	a4
15	CHG	171	a4
15	CHH	1195	a4
16	CG	64	a4
16	CHG	60	a4
16	CHH	518	a4
17	CG	50	a4
17	CHG	55	a4
17	CHH	244	a4
18	CG	26	a4
18	CHG	25	a4
18	CHH	141	a4
19	CG	14	a4
19	CHG	14	a4
19	CHH	52	a4
20	CG	11	a4
20	CHG	9	a4
20	CHH	61	a4
21	CG	12	a4
21	CHG	10	a4
21	CHH	55	a4
22	CG	7	a4
22	CHG	11	a4
22	CHH	33	a4
23	CG	8	a4
23	CHG	4	a4
23	CHH	25	a4
24	CG	8	a4
24	CHG	6	a4
24	CHH	14	a4
25	CG	4	a4
25	CHG	2	a4
25	CHH	14	a4
26	CG	3	a4
26	CHG	2	a4
26	CHH	11	a4
27	CHH	6	a4
28	CG	3	a4
28	CHG	1	a4
28	CHH	7	a4
29	CG	3	a4
29	CHG	1	a4
29	CHH	1	a4
30	CHH	2	a4
31	CG	2	a4
31	CHG	2	a4
31	CHH	6	a4
32	CHH	5	a4
33	CG	1	a4
33	CHG	2	a4
33	CHH	4	a4
34	CG	1	a4
34	CHH	4	a4
35	CG	1	a4
35	CHG	2	a4
35	CHH	12	a4
36	CG	2	a4
36	CHG	1	a4
36	CHH	7	a4
37	CG	1	a4
37	CHH	1	a4
39	CG	1	a4
39	CHG	1	a4
40	CG	1	a4
40	CHH	1	a4
42	CHH	1	a4
43	CHH	1	a4
46	CG	1	a4
46	CHH	1	a4
47	CHH	1	a4
48	CG	1	a4
48	CHH	1	a4
49	CG	1	a4
0	CG	34418	a17
0	CHG	36527	a17
0	CHH	224951	a17
1	CG	24062	a17
1	CHG	21711	a17
1	CHH	138023	a17
2	CG	41104	a17
2	CHG	37577	a17
2	CHH	229878	a17
3	CG	64146	a17
3	CHG	59738	a17
3	CHH	370798	a17
4	CG	87945	a17
4	CHG	85084	a17
4	CHH	539826	a17
5	CG	109386	a17
5	CHG	110229	a17
5	CHH	722267	a17
6	CG	126042	a17
6	CHG	131198	a17
6	CHH	895100	a17
7	CG	136768	a17
7	CHG	147712	a17
7	CHH	1036186	a17
8	CG	141443	a17
8	CHG	157325	a17
8	CHH	1121695	a17
9	CG	137950	a17
9	CHG	158248	a17
9	CHH	1153644	a17
10	CG	131197	a17
10	CHG	152843	a17
10	CHH	1127157	a17
11	CG	118881	a17
11	CHG	140848	a17
11	CHH	1050000	a17
12	CG	103648	a17
12	CHG	125180	a17
12	CHH	929041	a17
13	CG	86037	a17
13	CHG	104465	a17
13	CHH	791179	a17
14	CG	69144	a17
14	CHG	85226	a17
14	CHH	644666	a17
15	CG	54500	a17
15	CHG	66171	a17
15	CHH	507099	a17
16	CG	40520	a17
16	CHG	50069	a17
16	CHH	385305	a17
17	CG	29583	a17
17	CHG	36244	a17
17	CHH	280430	a17
18	CG	21042	a17
18	CHG	25610	a17
18	CHH	198431	a17
19	CG	14475	a17
19	CHG	17170	a17
19	CHH	136228	a17
20	CG	9871	a17
20	CHG	11693	a17
20	CHH	90898	a17
21	CG	6401	a17
