sample	context	min_prop	size	regionType	DMRs	length
a17	CHG	0.2	200	loss	395	121153
a17	CHG	0.2	500	loss	29	9957
a17	CHG	0.2	1000	loss	5	3694
a17	CHG	0.2	2000	loss	2	2060
a17	CHG	0.30000000000000004	10	gain	6	394
a17	CHG	0.30000000000000004	10	loss	91	5751
a17	CHG	0.30000000000000004	20	gain	14	921
a17	CHG	0.30000000000000004	20	loss	538	42087
a17	CHG	0.30000000000000004	50	gain	24	3097
a17	CHG	0.30000000000000004	50	loss	965	132546
a17	CHG	0.30000000000000004	100	gain	25	2950
a17	CHG	0.30000000000000004	100	loss	818	183832
a17	CHG	0.30000000000000004	200	gain	6	633
a17	CHG	0.30000000000000004	200	loss	393	118712
a17	CHG	0.30000000000000004	500	loss	29	9957
a17	CHG	0.30000000000000004	1000	loss	5	3694
a17	CHG	0.30000000000000004	2000	loss	2	2060
a17	CHG	0.4	10	gain	6	394
a17	CHG	0.4	10	loss	59	3800
a17	CHG	0.4	20	gain	11	757
a17	CHG	0.4	20	loss	468	36041
a17	CHG	0.4	50	gain	23	3036
a17	CHG	0.4	50	loss	873	117692
a17	CHG	0.4	100	gain	22	2712
a17	CHG	0.4	100	loss	756	161838
a17	CHG	0.4	200	gain	6	633
a17	CHG	0.4	200	loss	382	108844
a17	CHG	0.4	500	loss	29	9957
a17	CHG	0.4	1000	loss	5	3694
a17	CHG	0.4	2000	loss	2	2060
a17	CHG	0.5	10	gain	4	257
a17	CHG	0.5	10	loss	43	2815
a17	CHG	0.5	20	gain	9	623
a17	CHG	0.5	20	loss	340	26200
a17	CHG	0.5	50	gain	18	2301
a17	CHG	0.5	50	loss	648	82957
a17	CHG	0.5	100	gain	20	2257
a17	CHG	0.5	100	loss	600	120226
a17	CHG	0.5	200	gain	6	633
a17	CHG	0.5	200	loss	342	87699
a17	CHG	0.5	500	loss	29	9957
a17	CHG	0.5	1000	loss	5	3694
a17	CHG	0.5	2000	loss	2	2060
a17	CHG	0.6	10	gain	3	174
a17	CHG	0.6	10	loss	27	1762
a17	CHG	0.6	20	gain	7	494
a17	CHG	0.6	20	loss	214	16248
a17	CHG	0.6	50	gain	14	1770
a17	CHG	0.6	50	loss	373	45891
a17	CHG	0.6	100	gain	13	1499
a17	CHG	0.6	100	loss	378	68467
a17	CHG	0.6	200	gain	5	546
a17	CHG	0.6	200	loss	229	52642
a17	CHG	0.6	500	loss	29	9952
a17	CHG	0.6	1000	loss	5	3694
a17	CHG	0.6	2000	loss	2	2060
a17	CHG	0.7000000000000001	10	gain	2	124
a17	CHG	0.7000000000000001	10	loss	12	805
a17	CHG	0.7000000000000001	20	gain	4	299
a17	CHG	0.7000000000000001	20	loss	96	7541
a17	CHG	0.7000000000000001	50	gain	8	1235
a17	CHG	0.7000000000000001	50	loss	158	19800
a17	CHG	0.7000000000000001	100	gain	9	760
a17	CHG	0.7000000000000001	100	loss	173	28396
a17	CHG	0.7000000000000001	200	gain	3	359
a17	CHG	0.7000000000000001	200	loss	116	26273
a17	CHG	0.7000000000000001	500	loss	21	7777
a17	CHG	0.7000000000000001	1000	loss	5	3694
a17	CHG	0.7000000000000001	2000	loss	2	1903
a17	CHG	0.8	10	gain	1	69
a17	CHG	0.8	10	loss	6	412
a17	CHG	0.8	20	gain	2	133
a17	CHG	0.8	20	loss	39	2934
a17	CHG	0.8	50	gain	5	419
a17	CHG	0.8	50	loss	65	7057
a17	CHG	0.8	100	gain	5	383
a17	CHG	0.8	100	loss	72	10303
a17	CHG	0.8	200	gain	1	195
a17	CHG	0.8	200	loss	44	8965
a17	CHG	0.8	500	loss	12	3879
a17	CHG	0.8	1000	loss	3	2012
a17	CHG	0.8	2000	loss	2	678
a17	CHG	0.9	10	gain	1	69
a17	CHG	0.9	20	gain	1	73
a17	CHG	0.9	20	loss	7	460
a17	CHG	0.9	50	gain	1	85
a17	CHG	0.9	50	loss	17	1591
a17	CHG	0.9	100	gain	2	158
a17	CHG	0.9	100	loss	14	2062
a17	CHG	0.9	200	gain	1	178
a17	CHG	0.9	200	loss	6	1378
a17	CHG	0.9	500	loss	1	75
a17	CHG	0.9	1000	loss	1	61
a17	CHG	0.9	2000	loss	1	149
a17	CHH	0.1	10	loss	3	187
a17	CHH	0.1	20	loss	2	136
a17	CHH	0.2	10	loss	3	187
a17	CHH	0.2	20	loss	2	136
a17	CHH	0.30000000000000004	10	loss	3	187
a17	CHH	0.30000000000000004	20	loss	2	136
a17	CHH	0.4	10	loss	3	187
a17	CHH	0.4	20	loss	2	136
a17	CHH	0.5	10	loss	2	136
a17	CHH	0.5	20	loss	2	136
a17	CHH	0.6	10	loss	2	136
a17	CHH	0.6	20	loss	2	136
a17	CHH	0.7000000000000001	10	loss	2	130
a17	CHH	0.7000000000000001	20	loss	2	130
a17	CHH	0.8	20	loss	1	50
a4	CG	0.1	10	gain	1	53
a4	CG	0.1	10	loss	4	320
a4	CG	0.1	20	gain	29	1940
a4	CG	0.1	20	loss	103	6896
a4	CG	0.1	50	gain	88	7717
a4	CG	0.1	50	loss	324	33240
a4	CG	0.1	100	gain	79	8867
a4	CG	0.1	100	loss	270	40021
a4	CG	0.1	200	gain	21	2909
a4	CG	0.1	200	loss	90	17777
a4	CG	0.1	2000	gain	5	3316
a4	CG	0.1	2000	loss	127	150320
a4	CG	0.1	5000	gain	20	26458
a4	CG	0.1	5000	loss	397	629108
a4	CG	0.2	10	gain	1	53
a4	CG	0.2	10	loss	4	320
a4	CG	0.2	20	gain	29	1940
a4	CG	0.2	20	loss	102	6822
a4	CG	0.2	50	gain	88	7717
a4	CG	0.2	50	loss	322	33089
a4	CG	0.2	100	gain	78	8781
a4	CG	0.2	100	loss	268	39642
a4	CG	0.2	200	gain	21	2909
a4	CG	0.2	200	loss	88	17158
a4	CG	0.2	2000	gain	4	1021
a4	CG	0.2	2000	loss	60	29620
a4	CG	0.2	5000	gain	5	7272
a4	CG	0.2	5000	loss	77	51634
a4	CG	0.30000000000000004	10	gain	1	53
