chr	start	end	context	A11_10	A11_11	A11_3	A11_5	A11_8	A_12	A_14	A1_4	A_15	A1_6	A_17	A1_7	A1_8	A_1	A_21	A_22	A_4	B_10	B_11	B1_2	B1_3	B1_6	B1_7	B1_8	B1_9	B2_10	B2_14	B2_16	B2_18	B2_1	B2_20	B2_5	B2_9	B_2	B_3	B_4	B_5	B_6	B_8	WT_1	WT_2	WT_3	WT_4	WT_6
SL4.0ch00	0	100000	CG	92.4050632911392	86.5714285714286	88.3495145631068	89.4736842105263	90.8108108108108	93.8053097345133	83.7837837837838	85.4368932038835	90.990990990991	91.1242603550296	88.0952380952381	89.0295358649789	89.96138996139	87.8787878787879	87.6623376623377	94.0397350993377	91.0828025477707	92.8	83.6065573770492	90.8163265306122	88.3408071748879	90.3361344537815	89.8395721925134	87.7551020408163	94.0119760479042	91.0377358490566	88.4353741496599	88.5135135135135	84.7457627118644	93.7984496124031	91.8918918918919	86.6666666666667	90	90.4411764705882	88.3620689655172	86.2903225806452	85.0877192982456	80.8510638297872	81.6326530612245	92.6829268292683	95.1807228915663	92.2018348623853	89.6103896103896	96.1038961038961
SL4.0ch00	0	100000	CHG	62.3824451410658	54.858934169279	60.9625668449198	60.5405405405405	67.741935483871	72.5925925925926	65.1960784313726	62.6315789473684	65.0306748466258	74.6835443037975	68.6274509803922	59.2178770949721	68.8461538461538	58.1818181818182	73.1884057971015	67.0886075949367	67.7215189873418	65.9574468085106	58.75	72.0930232558139	71.7171717171717	55.7377049180328	66.2857142857143	61.3333333333333	74.0112994350282	65.4639175257732	65.5405405405405	60	61.9047619047619	71.2328767123288	55.5555555555556	63.4285714285714	60.3174603174603	57.5757575757576	58.2278481012658	63.1944444444444	65	54.5454545454545	52.3076923076923	65.6084656084656	65.2173913043478	68.0851063829787	74.7058823529412	74.2857142857143
SL4.0ch00	0	100000	CHH	5.93649332719742	5.55050045495905	6.9168506254599	6.67196187450357	5.52995391705069	6.65901262916188	8.05018295870361	7.83898305084746	9.391771019678	7.93021411578113	9.30646117368109	8.33876221498371	8.73731679819617	7.36196319018405	8.40035746201966	6.99919549477072	7.63888888888889	7.14285714285714	3.7037037037037	10.6041923551171	6.11979166666667	5.720823798627	6.4279902359642	4.42913385826772	7.4487895716946	6.11764705882353	4.70366886171214	4.66883821932682	5.49828178694158	7.08446866485014	5.44747081712062	7.70625566636446	5.40254237288136	7.806031933767	6.71641791044776	7.33333333333333	6.22406639004149	5.60747663551402	5.29022777369581	6.21468926553672	5.99489795918367	6.33356790992259	5.98227474150665	7.27611940298507
SL4.0ch00	100000	200000	CG	92.0168067226891	92.3694779116466	89.8395721925134	90.8450704225352	88.2352941176471	88.7755102040816	85.593220338983	88.5057471264368	88.8157894736842	89.84375	89.4957983193277	91.3461538461538	89.1666666666667	93.2203389830509	89.5061728395062	87.8378378378378	91.3669064748201	91.7525773195876	82.7586206896552	90.6976744186046	89.4230769230769	85.632183908046	84.8	83.1858407079646	85.7142857142857	89.7849462365591	92.1428571428571	88	85.7142857142857	89.6969696969697	90	89.7196261682243	86.8571428571429	80.8823529411765	88.5542168674699	87.1428571428571	92.9577464788732	94.1176470588235	86.0655737704918	93.3962264150943	90.4494382022472	90.5405405405405	90.6735751295337	93.75
SL4.0ch00	100000	200000	CHG	68.8034188034188	61.7283950617284	60	67.3758865248227	68.9655172413793	58.6206896551724	63.4020618556701	67.0731707317073	65.0684931506849	63.448275862069	67.6470588235294	70.6161137440758	63.5294117647059	77.1929824561404	69.6969696969697	63.5036496350365	62.1621621621622	78.6407766990291	65.0793650793651	69.6629213483146	71.3114754098361	66.1111111111111	53.2110091743119	62.280701754386	66.6666666666667	64.3243243243243	69.5364238410596	65	61.5384615384615	62.1428571428571	50	62.6168224299065	65.7142857142857	60.3550295857988	67.2514619883041	72.0779220779221	67.9487179487179	60.6382978723404	56.7796610169492	61.5384615384615	80.2395209580838	65.1006711409396	67.3684210526316	62.0253164556962
SL4.0ch00	100000	200000	CHH	7.17234262125903	5.0314465408805	7.09046454767726	4.57516339869281	5.90673575129534	4.2674253200569	6.12244897959184	7.99396681749623	6.25	5.84567420109119	8.9728453364817	7.83378746594005	6.16864742501415	7.23076923076923	4.249547920434	5.50284629981025	5.8252427184466	10.6707317073171	6.81003584229391	6.64556962025316	6.28500311138768	7.40740740740741	3.8961038961039	5.61224489795918	5.22167487684729	5.66741237882177	5.49222797927461	4.98261877172654	5.24017467248908	5.13565891472868	5.79150579150579	7.42677824267782	6.48801128349788	5.95313489550348	7.47740345110928	8.61141011840689	7.11678832116788	6.49171270718232	7.55258126195029	5.71776155717762	8.17341862117981	7.13685978169605	5.11973575557391	6.18279569892473
SL4.0ch00	200000	300000	CG	90.6298003072197	88.8364779874214	93.8823529411765	94.273127753304	90.983606557377	90.6810035842294	90.3076923076923	91.5555555555556	91.7222963951936	92.0308483290488	92.5773195876289	89.9115044247788	87.6119402985075	91.747572815534	92.0374707259953	89.4894894894895	83.7209302325581	90.4522613065327	88.2716049382716	94.2028985507246	90.1639344262295	92.1245421245421	90.1140684410646	90.3314917127072	91.4634146341463	88.4792626728111	92.0754716981132	87.6506024096386	89.2156862745098	91.1764705882353	88.4615384615385	92.1232876712329	91.1428571428571	90.6130268199234	87.25	89.6464646464647	89.4472361809045	88.8446215139442	88.8646288209607	93.7007874015748	93.2291666666667	95.0236966824645	91.4364640883978	94.5652173913043
SL4.0ch00	200000	300000	CHG	70.0379266750948	72.3035952063915	70.2803738317757	75	70.5747126436782	78.816199376947	73.8666666666667	75.4681647940075	72.3595505617977	79.1127541589649	76.1526232114467	74.5185185185185	72.2448979591837	72.1739130434783	73.0952380952381	72.4043715846994	71.4801444043321	70.9523809523809	65.7894736842105	69.3498452012384	70.1624815361891	72.8813559322034	72.0858895705521	69.7183098591549	75.544794188862	79.4871794871795	74.1433021806854	73.3496332518337	68.5393258426966	76.0806916426513	80.327868852459	72.3926380368098	76.5281173594132	77.007874015748	71.939736346516	72.488038277512	79.3893129770992	72.0588235294118	71.9123505976096	76.6773162939297	71.5909090909091	77.9513888888889	76.1574074074074	74.6606334841629
SL4.0ch00	200000	300000	CHH	7.56868843960601	7.40136054421769	8.52382797365362	7.28929384965831	5.83710407239819	7.68729641693811	8.21559392987964	9.37972768532526	8.98176967541129	9.04458598726115	10.8762359359018	9.45179584120983	7.48279816513761	8.23076923076923	6.66666666666667	9.48678071539658	6.48683365446371	8.82352941176471	7.88973384030418	9.42071386775892	7.53899480069324	8.2750228171585	6.78733031674208	5.78473210052157	7.66743648960739	8.2018927444795	6.48648648648649	7.72378516624041	5.37634408602151	8.37751855779427	8.09061488673139	9.12408759124088	8.11055731762574	8.89125044279136	7.2552783109405	7.72855796418473	7.99640610961366	8.64759427828348	6.87830687830688	7.33048259010385	6.72882042967167	9.3349358974359	6.83120317320406	8.45283018867925
SL4.0ch00	300000	400000	CG	90.695915279879	88.2656826568266	89.8128898128898	90.7504363001745	88.0994671403197	92.2950819672131	88.3404255319149	90.5927835051546	88.4615384615385	88.4137931034483	86.7069486404834	88.0670611439842	87.6106194690265	90.8898305084746	90.528233151184	91.3636363636364	88.2105263157895	87.593984962406	86.946386946387	88.9887640449438	89.6987366375121	89.9043570669501	90.7877169559412	86.2876254180602	89.0287769784173	91.2977099236641	87.4788494077834	88.5135135135135	89.1891891891892	92.4731182795699	86.9565217391304	87.5232774674115	86.8465430016863	87.7862595419847	88.8026607538803	87.9591836734694	92.0273348519362	83.6734693877551	86.3033873343152	90.1709401709402	90.5292479108635	89.8381294964029	89.2249527410208	92.6686217008798
